Project,Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
blueprints,rev_b4f3d-8347b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_55511-eed83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_84438-777f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_e8ee2-e9def,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_8e4bb-b8e32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_092c4-28c39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_59d9b-9dc03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_0f057-0dc08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_f2f8c-e7eb9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_9ed50-b769e,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0
blueprints,rev_665db-0d5eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_720b1-a8654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_31861-04e60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_38a29-d64df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_0e308-d5276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_2158f-a5a87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_fcd34-ef948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_851cc-97b0d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_74e1c-96173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_f2d38-ca64c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_3f5f9-1a5bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_16999-952b0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_4e4c0-b98bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_29eb4-19780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_58507-a6aad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_ec13a-efbb2,1,0,0,0,1,3,3,0,0,0,2,0,0,0,0,0,0,0
blueprints,rev_3d426-e49ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_5b0ea-ca557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_67cb8-4130e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_4130e-dee98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_a89b9-d2764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_2107d-b41b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_a525e-3702d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_dc8eb-81fbb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_7d285-197a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_7d3cf-64a26,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_6a496-ee120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_83e9e-b0406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_91049-caa41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_af74c-adccb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_90238-8ec17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_bf1d3-e8df2,1,0,0,0,1,1,3,3,0,0,1,0,0,0,0,2,0,0
blueprints,rev_69b1d-4e284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_f0d87-e39b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_c044c-351da,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_69cee-fe0e0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_78a82-ef921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_6a851-49d8a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_c9682-d6b8e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_942f7-8dec8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_561cf-2b018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_76f5c-3934f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_d0f1e-d649f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_9408a-91d82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_d7fbb-91d82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_98345-f8723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_4987e-7b1ec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_4fa2d-264a7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_1eb56-085f4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_16c25-d3de4,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
blueprints,rev_11f5f-a14ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_d984c-a8e8c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_f3e8d-38c85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_0ef54-c78f2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_33026-c78f2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_f4f35-f6129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_d725a-3b4ba,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
blueprints,rev_b9aeb-ce1f0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprints,rev_2525c-198e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
